Company,CEO,CEO Linkedin Profile,Vice President,Vice President Linkedin Profile,Company Website
"Codexis, Inc.",John Nicols ,https://www.linkedin.com/in/johnnicols,Rob Wilson ,https://www.linkedin.com/in/rob-wilson-6628b312,https://www.codexis.com/
"Coeur Mining, Inc.",Mitchell Krebs ,https://www.linkedin.com/in/mitchell-krebs-0789a710,Terrence Smith ,https://www.linkedin.com/in/terrence-smith-64125839,https://www.coeur.com
Commercial Metals Company,Joel Lindsay ,https://www.linkedin.com/in/joel-lindsay-039b664b,Chip Gooding ,https://www.linkedin.com/in/chip-gooding-2008095,https://www.cmc.com/
"Compass Minerals International, Inc.",Gary Gose ,https://www.linkedin.com/in/gary-gose-2a71a934,John Craft ,https://www.linkedin.com/in/john-craft-7900478,https://www.compassminerals.com
"Comstock Mining, Inc.",Corrado DeGasperis ,https://www.linkedin.com/in/corrado-degasperis-8167663,Clifford Nelson Jr. ,https://www.linkedin.com/in/clifford-nelson-jr-223b7a43,https://www.comstockmining.com
"Concrete Pumping Holdings, Inc.",Joe Del Toro ,https://www.linkedin.com/in/joedeltoro,Result Not Found,No Results,https://www.concretepumpingholdings.com/
Constellium N.V.,Rina Teran ,https://www.linkedin.com/in/reteran,Rina Teran ,https://www.linkedin.com/in/reteran,https://www.constellium.com
"Construction Partners, Inc.",Rollin M Wood ,https://www.linkedin.com/in/rollin-m-wood-79194041,Marci Wainwright ,https://www.linkedin.com/in/marciwainwright,https://www.constructionpartners.net
Corning Incorporated,Brendan Mosher ,https://www.linkedin.com/in/brendanmosher,Laura Coleman ,https://www.linkedin.com/in/laura-coleman-875456122,https://www.corning.com
Covanta Holding Corporation,Stephen Jones ,https://www.linkedin.com/in/stephen-jones-a62095a,Timothy Simpson ,https://www.linkedin.com/in/timothy-simpson-b84ba543,https://www.covanta.com
Covia Holdings Corporation,Campbell Jones ,https://www.linkedin.com/in/campbell-jones-9057a8b,Eric Westbrook ,https://www.linkedin.com/in/eric-westbrook-58b76823,N/A
